"","target_id","gene","tissue","tpm","binary","accessions","gene_id","gene_name","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"11807","PGEN_.00g293920","PGEN_.00g293920","gonad",13.287308,1,"O08599;A2ARS2;A2ARS3;A2ARS4;Q5WAC6;Q8VD51",20910,"Stxbp1","Syntaxin-binding protein 1","Protein unc-18 homolog A","GO:0030424;GO:0005737;GO:0005856;GO:0005829;GO:0098891;GO:0098978;GO:0005739;GO:0043209;GO:0005654;GO:0005634;GO:0048471;GO:0045335;GO:0005886;GO:0031091;GO:0098794;GO:0098793;GO:0048787;GO:0032991;GO:0030141;GO:0042802;GO:0043274;GO:0019904;GO:0019901;GO:0047485;GO:0000149;GO:0019905;GO:0017075;GO:0007412;GO:0071346;GO:0003006;GO:0006887;GO:0006886;GO:0060292;GO:0043524;GO:0031333;GO:0032229;GO:0007274;GO:0007269;GO:0070527;GO:0002576;GO:0045956;GO:0045921;GO:1903296;GO:0043306;GO:0106022;GO:0099525;GO:0072659;GO:0050821;GO:2000367;GO:0010807;GO:0031338;GO:0032355;GO:0035493;GO:0031629;GO:0016188;GO:0016082;GO:0006904;GO:0016192","GO:0007412;GO:0071346;GO:0003006;GO:0006887;GO:0006886;GO:0060292;GO:0043524;GO:0031333;GO:0032229;GO:0007274;GO:0007269;GO:0070527;GO:0002576;GO:0045956;GO:0045921;GO:1903296;GO:0043306;GO:0106022;GO:0099525;GO:0072659;GO:0050821;GO:2000367;GO:0010807;GO:0031338;GO:0032355;GO:0035493;GO:0031629;GO:0016188;GO:0016082;GO:0006904;GO:0016192","GO:0030424;GO:0005737;GO:0005856;GO:0005829;GO:0098891;GO:0098978;GO:0005739;GO:0043209;GO:0005654;GO:0005634;GO:0048471;GO:0045335;GO:0005886;GO:0031091;GO:0098794;GO:0098793;GO:0048787;GO:0032991;GO:0030141","GO:0042802;GO:0043274;GO:0019904;GO:0019901;GO:0047485;GO:0000149;GO:0019905;GO:0017075","GO:0030154;GO:0048856;GO:0002376;GO:0098542;GO:0022414;GO:0016192;GO:0023052;GO:0012501;GO:0065003;GO:0023052;GO:0023052;GO:0023052;GO:0007155;GO:0042060;GO:0016192;GO:0016192;GO:0016192;GO:0023052;GO:0002376;GO:0016192;GO:0016192;GO:0016192;GO:0023052;GO:0016192;GO:0022414;GO:0016192;GO:0023052;GO:0065003;GO:0016192;GO:0061024;GO:0016192;GO:0061024;GO:0065003;GO:0016192;GO:0023052;GO:0061024;GO:0016192;GO:0023052;GO:0065003;GO:0016192","cell differentiation;anatomical structure development;immune system process;defense response to other organism;reproductive process;vesicle-mediated transport;signaling;programmed cell death;protein-containing complex assembly;signaling;signaling;signaling;cell adhesion;wound healing;vesicle-mediated transport;vesicle-mediated transport;vesicle-mediated transport;signaling;immune system process;vesicle-mediated transport;vesicle-mediated transport;vesicle-mediated transport;signaling;vesicle-mediated transport;reproductive process;vesicle-mediated transport;signaling;protein-containing complex assembly;vesicle-mediated transport;membrane organization;vesicle-mediated transport;membrane organization;protein-containing complex assembly;vesicle-mediated transport;signaling;membrane organization;vesicle-mediated transport;signaling;protein-containing complex assembly;vesicle-mediated transport"
"11837","PGEN_.00g294940","PGEN_.00g294940","gonad",2.259602,1,"O62698;O46517;O62665",282023,"PTGS2","Prostaglandin G/H synthase 2","Prostaglandin-endoperoxide synthase 2","GO:0005737;GO:0005789;GO:0043005;GO:0005637;GO:0005640;GO:0020037;GO:0046872;GO:0016702;GO:0004601;GO:0004666;GO:0071347;GO:0019371;GO:0006954;GO:0000212;GO:0001550;GO:0040019;GO:1904146;GO:1900195;GO:0001934;GO:0001516;GO:0008217;GO:0150077;GO:0006979","GO:0071347;GO:0019371;GO:0006954;GO:0000212;GO:0001550;GO:0040019;GO:1904146;GO:1900195;GO:0001934;GO:0001516;GO:0008217;GO:0150077;GO:0006979","GO:0005737;GO:0005789;GO:0043005;GO:0005637;GO:0005640","GO:0020037;GO:0046872;GO:0016702;GO:0004601;GO:0004666","GO:0006629;GO:0007010;GO:0022414;GO:0022414;GO:0030154;GO:0048856;GO:0048856;GO:0022414;GO:0030154;GO:0048856;GO:0022414;GO:0030154;GO:0048856;GO:0006629;GO:0003013;GO:0006954","lipid metabolic process;cytoskeleton organization;reproductive process;reproductive process;cell differentiation;anatomical structure development;anatomical structure development;reproductive process;cell differentiation;anatomical structure development;reproductive process;cell differentiation;anatomical structure development;lipid metabolic process;circulatory system process;inflammatory response"
"11865","PGEN_.00g296570","PGEN_.00g296570","gonad",6.475897,1,"Q8SWR3;Q9W4B9",31463,"SPR","Sex peptide receptor","hNOTUM","GO:0016021;GO:0005886;GO:0008528;GO:0007186;GO:0045434;GO:0046662","GO:0007186;GO:0045434;GO:0046662","GO:0016021;GO:0005886","GO:0008528","GO:0023052;GO:0022414;GO:0022414","signaling;reproductive process;reproductive process"
"11910","PGEN_.00g298200","PGEN_.00g298200","gonad",254.952581,1,"P07688;Q3ZC03",281105,"CTSB","Cathepsin B heavy chain","BCSB","GO:0016324;GO:0009897;GO:0005615;GO:0005764;GO:0042470;GO:1904090;GO:0048471;GO:0005518;GO:0004197;GO:0004175;GO:0043394;GO:0097067;GO:0030574;GO:0046697;GO:0030855;GO:0010466;GO:0051603;GO:0006590;GO:0046718","GO:0097067;GO:0030574;GO:0046697;GO:0030855;GO:0010466;GO:0051603;GO:0006590;GO:0046718","GO:0016324;GO:0009897;GO:0005615;GO:0005764;GO:0042470;GO:1904090;GO:0048471","GO:0005518;GO:0004197;GO:0004175;GO:0043394","GO:0022414;GO:0048856;GO:0030154;GO:0048856;GO:0030163;GO:0006575","reproductive process;anatomical structure development;cell differentiation;anatomical structure development;protein catabolic process;cellular modified amino acid metabolic process"
"11914","PGEN_.00g298410","PGEN_.00g298410","gonad",268.589803,1,"P07688;Q3ZC03",281105,"CTSB","Cathepsin B heavy chain","BCSB","GO:0016324;GO:0009897;GO:0005615;GO:0005764;GO:0042470;GO:1904090;GO:0048471;GO:0005518;GO:0004197;GO:0004175;GO:0043394;GO:0097067;GO:0030574;GO:0046697;GO:0030855;GO:0010466;GO:0051603;GO:0006590;GO:0046718","GO:0097067;GO:0030574;GO:0046697;GO:0030855;GO:0010466;GO:0051603;GO:0006590;GO:0046718","GO:0016324;GO:0009897;GO:0005615;GO:0005764;GO:0042470;GO:1904090;GO:0048471","GO:0005518;GO:0004197;GO:0004175;GO:0043394","GO:0022414;GO:0048856;GO:0030154;GO:0048856;GO:0030163;GO:0006575","reproductive process;anatomical structure development;cell differentiation;anatomical structure development;protein catabolic process;cellular modified amino acid metabolic process"
"11943","PGEN_.00g299310","PGEN_.00g299310","gonad",2.10929,1,"Q8CDI2;Q4G0C8;Q8R0R1",NA,"Fbxo43","F-box only protein 43","Endogenous meiotic inhibitor 2","GO:0005634;GO:0046872;GO:0051321;GO:0045835;GO:0042177;GO:0016567;GO:0040020;GO:0007088","GO:0051321;GO:0045835;GO:0042177;GO:0016567;GO:0040020;GO:0007088","GO:0005634","GO:0046872","GO:0022414;GO:0022414;GO:0140013;GO:0030163;GO:0022414;GO:0140013;GO:0000278;GO:0140014","reproductive process;reproductive process;meiotic nuclear division;protein catabolic process;reproductive process;meiotic nuclear division;mitotic cell cycle;mitotic nuclear division"
"11952","PGEN_.00g299520","PGEN_.00g299520","gonad",1.25146,1,"Q9NSC2;Q99881;Q9NSC3;Q9P1R0",6299,"SALL1","Sal-like protein 1","Zinc finger protein Spalt-1","GO:0010369;GO:0005737;GO:0000792;GO:0005654;GO:0005634;GO:0008013;GO:0000981;GO:0001227;GO:0046872;GO:0000978;GO:0030325;GO:0001658;GO:0048566;GO:0042733;GO:0008406;GO:0007507;GO:0031129;GO:0001822;GO:0072073;GO:0060173;GO:0003337;GO:0000122;GO:0045892;GO:0021889;GO:0061034;GO:0021553;GO:0021983;GO:0045944;GO:0045893;GO:0030177;GO:0006357;GO:0001657;GO:0072092;GO:0003281","GO:0030325;GO:0001658;GO:0048566;GO:0042733;GO:0008406;GO:0007507;GO:0031129;GO:0001822;GO:0072073;GO:0060173;GO:0003337;GO:0000122;GO:0045892;GO:0021889;GO:0061034;GO:0021553;GO:0021983;GO:0045944;GO:0045893;GO:0030177;GO:0006357;GO:0001657;GO:0072092;GO:0003281","GO:0010369;GO:0005737;GO:0000792;GO:0005654;GO:0005634","GO:0008013;GO:0000981;GO:0001227;GO:0046872;GO:0000978","GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0022414;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0006351;GO:0006355;GO:0006351;GO:0006355;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0006351;GO:0006355;GO:0006351;GO:0006355;GO:0023052;GO:0006351;GO:0006355;GO:0048856;GO:0048856;GO:0048856","anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;reproductive process;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;DNA-templated transcription;regulation of DNA-templated transcription;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;DNA-templated transcription;regulation of DNA-templated transcription;signaling;DNA-templated transcription;regulation of DNA-templated transcription;anatomical structure development;anatomical structure development;anatomical structure development"
"11954","PGEN_.00g299570","PGEN_.00g299570","gonad",0.41187,1,"P28166;Q59DT3;Q6NP51;Q8MSQ8;Q9VA39;Q9VA40",43650,"zfh1","Zinc finger protein 1","Zinc finger homeodomain protein 1","GO:0005634;GO:0000981;GO:0046872;GO:0000978;GO:0000977;GO:0048856;GO:0007413;GO:0061321;GO:0008354;GO:0007516;GO:0048542;GO:0007498;GO:0008045;GO:0046716;GO:0051148;GO:0000122;GO:0007399;GO:0006357;GO:0048103","GO:0048856;GO:0007413;GO:0061321;GO:0008354;GO:0007516;GO:0048542;GO:0007498;GO:0008045;GO:0046716;GO:0051148;GO:0000122;GO:0007399;GO:0006357;GO:0048103","GO:0005634","GO:0000981;GO:0046872;GO:0000978;GO:0000977","GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0022414;GO:0048870;GO:0002376;GO:0030154;GO:0048856;GO:0002376;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0006351;GO:0006355;GO:0048856;GO:0006351;GO:0006355","cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;reproductive process;cell motility;immune system process;cell differentiation;anatomical structure development;immune system process;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription"
"11996","PGEN_.00g301030","PGEN_.00g301030","gonad",1.208908,1,"Q71MB6",432363,"Slco4c1","Solute carrier organic anion transporter family member 4C1","Solute carrier family 21 member 20","GO:0016323;GO:0016021;GO:0005887;GO:0015347;GO:0030154;GO:0015711;GO:0043252;GO:0007283","GO:0030154;GO:0015711;GO:0043252;GO:0007283","GO:0016323;GO:0016021;GO:0005887","GO:0015347","GO:0022414","reproductive process"
"11999","PGEN_.00g301170","PGEN_.00g301170","gonad",2.443333,1,"Q71MB6",432363,"Slco4c1","Solute carrier organic anion transporter family member 4C1","Solute carrier family 21 member 20","GO:0016323;GO:0016021;GO:0005887;GO:0015347;GO:0030154;GO:0015711;GO:0043252;GO:0007283","GO:0030154;GO:0015711;GO:0043252;GO:0007283","GO:0016323;GO:0016021;GO:0005887","GO:0015347","GO:0022414","reproductive process"
"12050","PGEN_.00g302680","PGEN_.00g302680","gonad",7.323289,1,"Q3SZU0",506864,"GTSF1","Gametocyte-specific factor 1","Protein FAM112B","GO:0005737;GO:0046872;GO:0030154;GO:0007283","GO:0030154;GO:0007283","GO:0005737","GO:0046872","GO:0022414","reproductive process"
"12072","PGEN_.00g303270","PGEN_.00g303270","gonad",9.663262,1,"Q5XHX8",299599,"Theg","Testicular haploid expressed gene protein","Tubulin alpha-2 chain","GO:0005634;GO:0030154;GO:0007283","GO:0030154;GO:0007283","GO:0005634","","GO:0022414","reproductive process"
"12093","PGEN_.00g303620","PGEN_.00g303620","gonad",3.384492,1,"Q7KRY7;A0A0B4K7L2;A4V3G5;Q59DT7;Q59DT8;Q6AWK8;Q7K9X1;Q7KA36;Q86QS7Q86QS8;Q86QS9;Q86QT0;Q8IMR8;Q8IMR9;Q8T003;Q95SV4;Q9VBE4",44448,"scrib","Protein lap4","Protein smell-impaired","GO:0005912;GO:0016327;GO:1990794;GO:0016323;GO:0005923;GO:0005938;GO:0030054;GO:0045169;GO:0016328;GO:0031594;GO:0014069;GO:0005918;GO:0030714;GO:0045175;GO:0060581;GO:0001708;GO:0000902;GO:0098609;GO:0048749;GO:0007391;GO:0045198;GO:0001737;GO:0042067;GO:0035088;GO:0045197;GO:0016332;GO:0016334;GO:0016336;GO:0072002;GO:0007613;GO:0001738;GO:0016331;GO:0016333;GO:0016335;GO:0008285;GO:0050680;GO:0045571;GO:0098968;GO:0098887;GO:0042048;GO:0030707;GO:0007318;GO:0007464;GO:0043113;GO:0097120;GO:0030100;GO:0050803;GO:0007608;GO:0019991;GO:0048863;GO:0072089;GO:0007472;GO:0045186","GO:0030714;GO:0045175;GO:0060581;GO:0001708;GO:0000902;GO:0098609;GO:0048749;GO:0007391;GO:0045198;GO:0001737;GO:0042067;GO:0035088;GO:0045197;GO:0016332;GO:0016334;GO:0016336;GO:0072002;GO:0007613;GO:0001738;GO:0016331;GO:0016333;GO:0016335;GO:0008285;GO:0050680;GO:0045571;GO:0098968;GO:0098887;GO:0042048;GO:0030707;GO:0007318;GO:0007464;GO:0043113;GO:0097120;GO:0030100;GO:0050803;GO:0007608;GO:0019991;GO:0048863;GO:0072089;GO:0007472;GO:0045186","GO:0005912;GO:0016327;GO:1990794;GO:0016323;GO:0005923;GO:0005938;GO:0030054;GO:0045169;GO:0016328;GO:0031594;GO:0014069;GO:0005918","","GO:0007163;GO:0022414;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0007155;GO:0048856;GO:0048856;GO:0007163;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0007163;GO:0048856;GO:0007163;GO:0007163;GO:0007163;GO:0048856;GO:0007163;GO:0048856;GO:0007163;GO:0048856;GO:0048856;GO:0050877;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0016192;GO:0006886;GO:0016192;GO:0072659;GO:0022414;GO:0030154;GO:0048856;GO:0022414;GO:0030154;GO:0048856;GO:0007163;GO:0030154;GO:0048856;GO:0016192;GO:0050877;GO:0034330;GO:0030154;GO:0048856;GO:0034330","establishment or maintenance of cell polarity;reproductive process;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;cell adhesion;anatomical structure development;anatomical structure development;establishment or maintenance of cell polarity;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;establishment or maintenance of cell polarity;anatomical structure development;establishment or maintenance of cell polarity;establishment or maintenance of cell polarity;establishment or maintenance of cell polarity;anatomical structure development;establishment or maintenance of cell polarity;anatomical structure development;establishment or maintenance of cell polarity;anatomical structure development;anatomical structure development;nervous system process;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;vesicle-mediated transport;intracellular protein transport;vesicle-mediated transport;protein localization to plasma membrane;reproductive process;cell differentiation;anatomical structure development;reproductive process;cell differentiation;anatomical structure development;establishment or maintenance of cell polarity;cell differentiation;anatomical structure development;vesicle-mediated transport;nervous system process;cell junction organization;cell differentiation;anatomical structure development;cell junction organization"
"12112","PGEN_.00g304150","PGEN_.00g304150","gonad",2.463172,1,"Q60636;A2VDE8;Q3UET9",12142,"Prdm1","PR domain zinc finger protein 1","PR domain-containing protein 1","GO:0005737;GO:0005634;GO:0003700;GO:0001227;GO:0042826;GO:0046872;GO:0008168;GO:1990841;GO:0000978;GO:1990837;GO:0002250;GO:0035904;GO:0048844;GO:0003279;GO:0045165;GO:0060976;GO:0001892;GO:0042462;GO:0007281;GO:0003170;GO:0001701;GO:0045087;GO:0060576;GO:0001822;GO:0001893;GO:0032259;GO:0001763;GO:0010629;GO:0000122;GO:0010628;GO:0009791;GO:0042127;GO:0033082;GO:0010468;GO:0032823;GO:0051136;GO:0006357;GO:1990654;GO:0060707;GO:0003281","GO:0002250;GO:0035904;GO:0048844;GO:0003279;GO:0045165;GO:0060976;GO:0001892;GO:0042462;GO:0007281;GO:0003170;GO:0001701;GO:0045087;GO:0060576;GO:0001822;GO:0001893;GO:0032259;GO:0001763;GO:0010629;GO:0000122;GO:0010628;GO:0009791;GO:0042127;GO:0033082;GO:0010468;GO:0032823;GO:0051136;GO:0006357;GO:1990654;GO:0060707;GO:0003281","GO:0005737;GO:0005634","GO:0003700;GO:0001227;GO:0042826;GO:0046872;GO:0008168;GO:1990841;GO:0000978;GO:1990837","GO:0002376;GO:0048856;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0022414;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0002376;GO:0098542;GO:0030154;GO:0048856;GO:0048856;GO:0022414;GO:0048856;GO:0048856;GO:0006351;GO:0006355;GO:0048856;GO:0002376;GO:0030154;GO:0048856;GO:0002376;GO:0030154;GO:0048856;GO:0002376;GO:0030154;GO:0048856;GO:0006351;GO:0006355;GO:0022414;GO:0030154;GO:0048856;GO:0048856","immune system process;anatomical structure development;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;reproductive process;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;immune system process;defense response to other organism;cell differentiation;anatomical structure development;anatomical structure development;reproductive process;anatomical structure development;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;anatomical structure development;immune system process;cell differentiation;anatomical structure development;immune system process;cell differentiation;anatomical structure development;immune system process;cell differentiation;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;reproductive process;cell differentiation;anatomical structure development;anatomical structure development"
"12113","PGEN_.00g304170","PGEN_.00g304170","gonad",39.67543,1,"Q9NSC2;Q99881;Q9NSC3;Q9P1R0",6299,"SALL1","Sal-like protein 1","Zinc finger protein Spalt-1","GO:0010369;GO:0005737;GO:0000792;GO:0005654;GO:0005634;GO:0008013;GO:0000981;GO:0001227;GO:0046872;GO:0000978;GO:0030325;GO:0001658;GO:0048566;GO:0042733;GO:0008406;GO:0007507;GO:0031129;GO:0001822;GO:0072073;GO:0060173;GO:0003337;GO:0000122;GO:0045892;GO:0021889;GO:0061034;GO:0021553;GO:0021983;GO:0045944;GO:0045893;GO:0030177;GO:0006357;GO:0001657;GO:0072092;GO:0003281","GO:0030325;GO:0001658;GO:0048566;GO:0042733;GO:0008406;GO:0007507;GO:0031129;GO:0001822;GO:0072073;GO:0060173;GO:0003337;GO:0000122;GO:0045892;GO:0021889;GO:0061034;GO:0021553;GO:0021983;GO:0045944;GO:0045893;GO:0030177;GO:0006357;GO:0001657;GO:0072092;GO:0003281","GO:0010369;GO:0005737;GO:0000792;GO:0005654;GO:0005634","GO:0008013;GO:0000981;GO:0001227;GO:0046872;GO:0000978","GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0022414;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0006351;GO:0006355;GO:0006351;GO:0006355;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0006351;GO:0006355;GO:0006351;GO:0006355;GO:0023052;GO:0006351;GO:0006355;GO:0048856;GO:0048856;GO:0048856","anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;reproductive process;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;DNA-templated transcription;regulation of DNA-templated transcription;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;DNA-templated transcription;regulation of DNA-templated transcription;signaling;DNA-templated transcription;regulation of DNA-templated transcription;anatomical structure development;anatomical structure development;anatomical structure development"
"12143","PGEN_.00g305180","PGEN_.00g305180","gonad",3.768357,1,"Q9Z319;B2RRC6;Q566K6",53419,"Corin","Atrial natriuretic peptide-converting enzyme 180 kDa soluble fragment","Pro-ANP-converting enzyme","GO:0015629;GO:0009986;GO:0031410;GO:0005576;GO:0005887;GO:0016604;GO:0005886;GO:0004175;GO:0005044;GO:0004252;GO:0007565;GO:0030182;GO:0016486;GO:0008217;GO:0035813;GO:0003050","GO:0007565;GO:0030182;GO:0016486;GO:0008217;GO:0035813;GO:0003050","GO:0015629;GO:0009986;GO:0031410;GO:0005576;GO:0005887;GO:0016604;GO:0005886","GO:0004175;GO:0005044;GO:0004252","GO:0022414;GO:0030154;GO:0048856;GO:0051604;GO:0003013;GO:0003014;GO:0003013;GO:0050886","reproductive process;cell differentiation;anatomical structure development;protein maturation;circulatory system process;renal system process;circulatory system process;endocrine process"
"12160","PGEN_.00g305470","PGEN_.00g305470","gonad",22.112296,1,"P25490;Q14935",7528,"YY1","Transcriptional repressor protein YY1","Yin and yang 1","GO:0005677;GO:0005737;GO:0031011;GO:0016363;GO:0005654;GO:0005634;GO:0031519;GO:0005667;GO:0003682;GO:0000987;GO:0003677;GO:0001228;GO:0000981;GO:0140297;GO:0001217;GO:0001227;GO:0000400;GO:0046872;GO:0003723;GO:0000978;GO:1990837;GO:0046332;GO:0000976;GO:0009952;GO:0030183;GO:0048593;GO:0048468;GO:0006974;GO:0071347;GO:0034644;GO:0006338;GO:0000724;GO:0071707;GO:0061052;GO:0010629;GO:0032688;GO:1902894;GO:0000122;GO:0042766;GO:0045739;GO:0010628;GO:1904507;GO:0045944;GO:0045893;GO:0051726;GO:0033044;GO:0006275;GO:0060382;GO:0045995;GO:0006357;GO:0034696;GO:0010225;GO:0006403;GO:0007283;GO:0000723","GO:0009952;GO:0030183;GO:0048593;GO:0048468;GO:0006974;GO:0071347;GO:0034644;GO:0006338;GO:0000724;GO:0071707;GO:0061052;GO:0010629;GO:0032688;GO:1902894;GO:0000122;GO:0042766;GO:0045739;GO:0010628;GO:1904507;GO:0045944;GO:0045893;GO:0051726;GO:0033044;GO:0006275;GO:0060382;GO:0045995;GO:0006357;GO:0034696;GO:0010225;GO:0006403;GO:0007283;GO:0000723","GO:0005677;GO:0005737;GO:0031011;GO:0016363;GO:0005654;GO:0005634;GO:0031519;GO:0005667","GO:0003682;GO:0000987;GO:0003677;GO:0001228;GO:0000981;GO:0140297;GO:0001217;GO:0001227;GO:0000400;GO:0046872;GO:0003723;GO:0000978;GO:1990837;GO:0046332;GO:0000976","GO:0048856;GO:0002376;GO:0030154;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0006325;GO:0006281;GO:0006310;GO:0002376;GO:0006310;GO:0048856;GO:0003012;GO:0030154;GO:0048856;GO:0006351;GO:0006355;GO:0006351;GO:0006355;GO:0006281;GO:0032200;GO:0006351;GO:0006355;GO:0006351;GO:0006355;GO:0006260;GO:0048856;GO:0006351;GO:0006355;GO:0022414;GO:0032200","anatomical structure development;immune system process;cell differentiation;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;chromatin organization;DNA repair;DNA recombination;immune system process;DNA recombination;anatomical structure development;muscle system process;cell differentiation;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;DNA-templated transcription;regulation of DNA-templated transcription;DNA repair;telomere organization;DNA-templated transcription;regulation of DNA-templated transcription;DNA-templated transcription;regulation of DNA-templated transcription;DNA replication;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;reproductive process;telomere organization"
"12184","PGEN_.00g306030","PGEN_.00g306030","gonad",0.296188,1,"P62288",NA,"ASPM","Abnormal spindle-like microcephaly-associated protein homolog","tRNA-intron endonuclease Sen2","GO:0005737;GO:0005634;GO:0000922;GO:0005516;GO:0051301;GO:0051295;GO:0000278;GO:0007051","GO:0051301;GO:0051295;GO:0000278;GO:0007051","GO:0005737;GO:0005634;GO:0000922","GO:0005516","GO:0007010;GO:0022414;GO:0007010","cytoskeleton organization;reproductive process;cytoskeleton organization"
"12201","PGEN_.00g306480","PGEN_.00g306480","gonad",1.941844,1,"Q8NI77;Q4VPE3;Q86VS5;Q9H0F3",81930,"KIF18A","Kinesin-like protein KIF18A","Marrow stromal KIF18A","GO:0005901;GO:0005737;GO:0005829;GO:0005871;GO:0000776;GO:0005828;GO:0005874;GO:0015630;GO:0005815;GO:0061673;GO:1990023;GO:0005634;GO:0001726;GO:0003779;GO:0005524;GO:0016887;GO:0008017;GO:0003777;GO:0051010;GO:0008574;GO:0070463;GO:0071392;GO:0007140;GO:0007019;GO:0007018;GO:0007080;GO:0000070;GO:0015031;GO:0070507;GO:0072520","GO:0071392;GO:0007140;GO:0007019;GO:0007018;GO:0007080;GO:0000070;GO:0015031;GO:0070507;GO:0072520","GO:0005901;GO:0005737;GO:0005829;GO:0005871;GO:0000776;GO:0005828;GO:0005874;GO:0015630;GO:0005815;GO:0061673;GO:1990023;GO:0005634;GO:0001726","GO:0003779;GO:0005524;GO:0016887;GO:0008017;GO:0003777;GO:0051010;GO:0008574;GO:0070463","GO:0022414;GO:0140013;GO:0007010;GO:0000278;GO:0007059;GO:0140014;GO:0000278;GO:0007059;GO:0140014;GO:0007010;GO:0022414;GO:0048856","reproductive process;meiotic nuclear division;cytoskeleton organization;mitotic cell cycle;chromosome segregation;mitotic nuclear division;mitotic cell cycle;chromosome segregation;mitotic nuclear division;cytoskeleton organization;reproductive process;anatomical structure development"
"12213","PGEN_.00g306940","PGEN_.00g306940","gonad",7.180389,1,"Q8IWU6;Q86YV8;Q8NCA2;Q9UPS5",23213,"SULF1","Extracellular sulfatase Sulf-1","RNA-binding motif protein 24-B","GO:0009986;GO:0005783;GO:0005615;GO:0005794;GO:0005795;GO:0045121;GO:0005886;GO:0004065;GO:0005509;GO:0005539;GO:0008449;GO:0006915;GO:0060348;GO:0051216;GO:0002063;GO:0048706;GO:0014846;GO:0035860;GO:0032836;GO:0003094;GO:0030201;GO:0060384;GO:0001822;GO:0016525;GO:0030336;GO:0001937;GO:0040037;GO:0060686;GO:0030513;GO:0010575;GO:0030177;GO:0040036;GO:0048010","GO:0006915;GO:0060348;GO:0051216;GO:0002063;GO:0048706;GO:0014846;GO:0035860;GO:0032836;GO:0003094;GO:0030201;GO:0060384;GO:0001822;GO:0016525;GO:0030336;GO:0001937;GO:0040037;GO:0060686;GO:0030513;GO:0010575;GO:0030177;GO:0040036;GO:0048010","GO:0009986;GO:0005783;GO:0005615;GO:0005794;GO:0005795;GO:0045121;GO:0005886","GO:0004065;GO:0005509;GO:0005539;GO:0008449","GO:0012501;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0048856;GO:0003012;GO:0023052;GO:0030198;GO:0048856;GO:0003014;GO:1901135;GO:0048856;GO:0048856;GO:0048856;GO:0048870;GO:0023052;GO:0022414;GO:0048856;GO:0023052;GO:0023052;GO:0023052;GO:0023052","programmed cell death;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;anatomical structure development;muscle system process;signaling;extracellular matrix organization;anatomical structure development;renal system process;carbohydrate derivative metabolic process;anatomical structure development;anatomical structure development;anatomical structure development;cell motility;signaling;reproductive process;anatomical structure development;signaling;signaling;signaling;signaling"
